 ,Area,Mean,Circ.,AR,Round,Solidity
1,84,148.548,0.880,1.304,0.767,0.880
2,32,164.250,0.991,1.224,0.817,0.901
3,89,159.494,0.643,1.476,0.678,0.802
4,21,172.714,1.000,1.116,0.896,0.857
5,35,153.429,0.897,1.082,0.924,0.854
6,32,166.125,0.991,1.242,0.805,0.889
7,43,177.349,0.585,1.960,0.510,0.761
8,25,178.560,0.714,2.781,0.360,0.820
9,27,173.778,0.836,1.255,0.797,0.818
10,23,174.043,0.824,1.803,0.555,0.807
11,50,149.300,0.681,2.690,0.372,0.833
12,72,155.736,0.625,2.594,0.386,0.823
13,70,145.400,0.857,1.531,0.653,0.843
14,93,137.892,0.720,1.741,0.575,0.849
15,35,162.343,0.809,1.908,0.524,0.909
16,73,139.726,0.907,1.205,0.830,0.896
17,27,158.111,1.000,1.316,0.760,0.885
18,21,174.905,1.000,1.147,0.872,0.933
19,32,192.344,0.710,1.463,0.684,0.800
20,30,158.433,0.769,1.306,0.765,0.800
21,637,169.868,0.362,1.795,0.557,0.696
22,108,141.444,0.730,1.260,0.794,0.847
23,29,161.828,0.784,1.872,0.534,0.841
24,47,164.979,0.654,1.781,0.561,0.740
25,35,167.257,0.777,1.430,0.699,0.833
26,133,139.609,0.592,2.793,0.358,0.850
27,239,118.322,0.683,1.174,0.852,0.823
28,31,153.968,0.838,1.189,0.841,0.861
29,23,163.435,1.000,1.227,0.815,0.902
30,57,136.965,0.839,1.449,0.690,0.857
31,65,155.846,0.730,1.330,0.752,0.807
32,56,167.000,0.775,1.509,0.663,0.903
