 ,Area,Mean,Circ.,AR,Round,Solidity
1,38,247.289,0.819,1.844,0.542,0.927
2,173,246.769,0.877,1.251,0.799,0.945
3,168,247.048,0.985,1.101,0.908,0.944
4,406,247.493,0.747,1.820,0.549,0.899
5,188,246.362,0.934,1.184,0.844,0.938
6,186,246.253,0.946,1.187,0.842,0.947
7,419,247.439,0.711,1.607,0.622,0.866
8,32,242.000,1.000,1.000,1.000,0.941
9,76,245.855,0.944,1.212,0.825,0.916
10,173,247.329,0.860,1.716,0.583,0.930
11,170,246.035,0.949,1.088,0.919,0.934
12,105,246.448,0.997,1.159,0.863,0.959
13,135,246.556,0.960,1.227,0.815,0.931
14,54,243.926,0.933,1.544,0.648,0.908
15,300,245.730,0.588,1.869,0.535,0.800
16,58,246.259,1.000,1.371,0.730,0.935
17,397,245.781,0.600,2.321,0.431,0.844
18,163,245.233,0.879,1.336,0.748,0.918
19,152,244.987,0.892,1.271,0.787,0.918
20,121,245.298,0.937,1.113,0.899,0.931
21,166,246.422,0.959,1.031,0.970,0.951
22,41,244.634,1.000,1.009,0.991,0.932
23,45,244.844,0.658,3.012,0.332,0.957
24,352,246.517,0.776,1.800,0.556,0.890
25,86,245.174,0.832,1.962,0.510,0.896
26,203,247.000,0.933,1.133,0.882,0.938
27,180,245.500,0.795,1.866,0.536,0.902
28,265,246.706,0.868,1.309,0.764,0.923
29,69,243.362,0.939,1.261,0.793,0.908
30,197,245.289,0.926,1.178,0.849,0.934
31,47,246.255,1.000,1.150,0.870,0.931
32,105,245.857,0.984,1.164,0.859,0.938
33,147,244.905,0.967,1.179,0.849,0.930
34,156,245.019,0.949,1.193,0.838,0.929
35,206,245.641,0.803,1.443,0.693,0.866
36,149,244.832,0.965,1.139,0.878,0.937
37,139,245.914,0.868,1.410,0.709,0.894
38,302,246.219,0.728,2.135,0.468,0.891
39,106,245.085,0.841,1.585,0.631,0.938
40,141,245.525,0.938,1.104,0.906,0.919
41,209,245.780,0.615,2.447,0.409,0.857
42,171,245.959,0.954,1.046,0.956,0.947
43,64,245.578,0.998,1.220,0.820,0.928
44,52,242.981,1.000,1.272,0.786,0.912
45,133,244.940,0.946,1.230,0.813,0.930
46,362,245.760,0.602,2.134,0.469,0.815
47,161,244.851,0.979,1.162,0.861,0.944
48,98,246.418,0.961,1.153,0.867,0.929
49,77,246.948,0.791,2.049,0.488,0.928
50,166,244.645,0.950,1.267,0.789,0.933
51,162,244.265,0.960,1.153,0.867,0.950
52,162,244.728,0.975,1.043,0.959,0.931
53,373,245.188,0.753,1.808,0.553,0.878
54,116,246.328,0.977,1.038,0.963,0.939
55,251,245.112,0.847,1.545,0.647,0.909
56,350,245.171,0.705,2.054,0.487,0.871
57,170,245.759,0.865,1.215,0.823,0.916
58,161,245.174,0.944,1.119,0.894,0.923
59,168,244.792,0.897,1.141,0.876,0.913
60,36,245.167,1.000,1.186,0.843,0.935
61,184,245.870,0.894,1.196,0.836,0.936
62,82,246.500,0.659,2.630,0.380,0.943
63,150,244.060,0.961,1.132,0.883,0.923
64,293,246.276,0.760,1.655,0.604,0.904
65,155,244.219,0.753,1.942,0.515,0.891
66,193,244.280,0.907,1.282,0.780,0.923
67,198,245.273,0.952,1.149,0.870,0.934
68,125,243.456,0.952,1.063,0.941,0.933
69,152,243.842,0.934,1.287,0.777,0.944
70,47,245.234,1.000,1.172,0.853,0.931
71,38,244.079,1.000,1.159,0.863,0.950
72,126,243.397,0.921,1.277,0.783,0.940
73,106,243.594,0.904,1.303,0.768,0.951
74,136,245.456,0.915,1.308,0.764,0.941
75,134,243.433,0.927,1.110,0.901,0.931
76,264,243.477,0.632,2.033,0.492,0.822
77,174,244.707,0.873,1.306,0.766,0.941
78,148,243.534,0.868,1.045,0.957,0.908
79,166,244.500,0.845,1.285,0.778,0.917
80,138,243.312,0.861,1.503,0.665,0.896
81,136,244.044,0.881,1.215,0.823,0.922
82,105,245.476,0.953,1.120,0.893,0.929
