area,solidity,max_intensity,prediction
6186,0.8334680679062247,770,0
5781,0.7971594043022614,698,0
4728,0.8374070138150903,696,0
1354,0.6254041570438799,596,0
1531,0.6624837732583297,813,0
5068,0.8145290903246545,694,0
7958,0.852764680668667,663,0
6397,0.8650439486139283,746,0
21,0.3043478260869565,698,4
4441,0.8766285037504935,821,0
4589,0.7823048073644733,665,0
4194,0.8090277777777778,755,0
62,0.3069306930693069,810,4
347,0.75764192139738,637,0
3710,0.7579162410623085,756,0
2557,0.7467873831775701,755,0
244,0.8106312292358804,545,0
3252,0.7545243619489559,764,0
3790,0.8074137196420963,770,0
4719,0.7015014122194143,540,0
5733,0.7589356632247816,786,0
4589,0.7581364612588799,648,0
8710,0.8334130705195675,777,0
5298,0.7609882217753519,627,0
3031,0.7817900438483364,807,0
2190,0.7046332046332047,797,0
3250,0.835260858391159,764,0
2500,0.7198387561186295,856,0
1442,0.544767661503589,849,4
617,0.4663643235071806,668,4
3678,0.8083516483516483,935,0
4459,0.8511166253101737,892,0
5201,0.7451289398280803,751,0
8989,0.8168847691748455,797,0
4714,0.7622897800776197,795,0
2808,0.762214983713355,826,0
1974,0.729490022172949,881,0
1854,0.6588486140724946,741,0
1331,0.6439283986453798,762,0
2250,0.6629345904537419,843,0
1831,0.6675173168064163,787,0
2883,0.7162732919254658,901,0
683,0.4772886093640811,737,4
4832,0.7426990470335075,820,0
6630,0.7840586565752129,780,0
3545,0.7813533171699361,820,0
2514,0.7839101964452759,853,0
1879,0.6905549430356487,925,0
4667,0.8072997751254108,906,0
4773,0.7665007226593865,980,0
4544,0.7271563450152024,886,0
3493,0.7828328103989243,742,0
4959,0.7568681318681318,861,0
4659,0.7531522793404462,811,0
3434,0.7179594396822078,772,0
2072,0.7288075976081604,794,0
8585,0.8309136662795199,847,0
6093,0.7324197619906239,722,0
7074,0.7850405060481633,624,0
3221,0.7404597701149426,935,0
5290,0.8247583411287808,988,0
4491,0.70171875,949,0
3045,0.7563338301043219,817,0
5494,0.7704389286215118,728,0
4016,0.8121334681496462,781,0
6283,0.7703531142717018,965,0
5023,0.8504910260751778,714,0
1896,0.6620111731843575,893,0
2745,0.6563845050215208,883,0
4355,0.7643032643032643,929,0
3935,0.7649688958009331,949,0
7417,0.8286225002792984,744,0
4021,0.8035571542765787,765,0
1890,0.7005189028910304,827,0
